Service Category 1;Category;Subcategory;Project/Program Name;Multi-Year Capital Budgets - Previously Approved;Multi-Year Capital Budgets – 2021;Multi-Year Capital Budgets - Total Open Project Budget;Annual Capital Expenditure Budgets – 2021;Annual Capital Expenditure Budgets – 2022 Forecast;Annual Capital Expenditure Budgets – 2023 Forecast;Annual Capital Expenditure Budgets – 2024 Forecast;Annual Capital Expenditure Budgets – 2025 Forecast
Arts and Culture;Entertainment & Exhibition Facilities;Entertainment & Exhibition Facilities;2019-2022 Renovations - Entertainment & Exhibition;63000.0;187000.0;250000.0;240000.0;0.0;0.0;0.0;0.0
Arts and Culture;Entertainment & Exhibition Facilities;Entertainment & Exhibition Facilities;Coliseum Ice Plant Risk Assessed Certifications;150000.0;0.0;150000.0;81162.0;0.0;0.0;0.0;0.0
Arts and Culture;Entertainment & Exhibition Facilities;Entertainment & Exhibition Facilities;Hastings Park-Pacific National Exhibition Master Plan: Infrastructure Implementation;4350000.0;1300000.0;5650000.0;4592241.0;900000.0;0.0;0.0;0.0
Arts and Culture;Public Art;Public Art;2015-2018 Public Art Boost - Capital;1000000.0;0.0;1000000.0;27614.0;0.0;0.0;0.0;0.0
Arts and Culture;Public Art;Public Art;Public Art - Centennial Pole Restoration;500000.0;0.0;500000.0;51898.0;0.0;0.0;0.0;0.0
Arts and Culture;Heritage;Heritage;2019-2022 Heritage Incentive Program Grants;13750000.0;0.0;13750000.0;8000000.0;5750000.0;0.0;0.0;0.0
Arts and Culture;Heritage;Heritage;Chinatown Memorial Square Redesign;200000.0;800000.0;1000000.0;888020.0;46000.0;0.0;0.0;0.0
Community Facilities;Libraries & Archives;Libraries;2019-2022 Capital Maintenance - Library Facilities;4253500.0;830000.0;5083500.0;2977839.0;472487.0;0.0;0.0;0.0
Community Facilities;Libraries & Archives;Libraries;Central Library Level 8 and 9 Expansion;18853500.0;0.0;18853500.0;310144.0;0.0;0.0;0.0;0.0
Community Facilities;Libraries & Archives;Archives;Archives Accomodation at Vanier Park;3951000.0;0.0;3951000.0;750000.0;250000.0;250000.0;250000.0;205794.0
Community Facilities;Libraries & Archives;Archives;Archives Relocation to Central Library;2000000.0;0.0;2000000.0;1056307.0;0.0;0.0;0.0;0.0
Community Facilities;Recreational Facilities;Community Centres, Rinks & Pools;Britannia Community Center Redevelopment Phase 1;20000000.0;0.0;20000000.0;3500000.0;3800000.0;4000000.0;4000000.0;4020922.0
Community Facilities;Recreational Facilities;Community Centres, Rinks & Pools;Marpole Community Center Redevelopment Planning;2000000.0;0.0;2000000.0;800000.0;1009674.0;0.0;0.0;0.0
Community Facilities;Recreational Facilities;Community Centres, Rinks & Pools;Auquatics Study including Outdoor Pool;325000.0;0.0;325000.0;12469.0;0.0;0.0;0.0;0.0
Community Facilities;Recreational Facilities;Programs;2015-2018 Energy Optimization Program;675076.0;0.0;675076.0;104682.0;0.0;0.0;0.0;0.0
Community Facilities;Recreational Facilities;Programs;2019-2022 Renovations - Recreation Facilities;2525000.0;0.0;2525000.0;1030000.0;1250000.0;210000.0;0.0;0.0
Community Facilities;Social Facilities;City-Owned;2015-2018 Renovations & Furniture, Fixtures & Equipments for Social Facilities;304158.0;0.0;304158.0;54162.0;0.0;0.0;0.0;0.0
Community Facilities;Social Facilities;City-Owned;Indigenous Healing and Wellness Center Tenant Improvements;711000.0;0.0;711000.0;350000.0;361000.0;0.0;0.0;0.0
Community Facilities;Social Facilities;Non-City;2012-2014 Social Infrastructure Grants;223117.0;0.0;223117.0;14665.0;0.0;0.0;0.0;0.0
Community Facilities;Social Facilities;Non-City;2015-2018 Façade Rehabilitation Grants;300000.0;0.0;300000.0;250000.0;0.0;0.0;0.0;0.0
Community Facilities;Social Facilities;Non-City;2015-2018 Social Policy Small Capital Grants;415000.0;0.0;415000.0;168865.0;0.0;0.0;0.0;0.0
Community Facilities;Social Facilities;Non-City;Grant - 411 Seniors Centre Society;800000.0;0.0;800000.0;800000.0;0.0;0.0;0.0;0.0
Community Facilities;Social Facilities;Non-City;Grant - Atira (420 Hawks Amenity Space);100000.0;0.0;100000.0;100000.0;0.0;0.0;0.0;0.0
Public Safety;Fire & Rescue;Fire Halls;2019-2022 Capital Maintenance - Fire Halls;1901000.0;90000.0;1991000.0;1427070.0;0.0;0.0;0.0;0.0
Public Safety;Fire & Rescue;Fire Halls;2019-2022 Fire Hall Renewal - Planning;500000.0;0.0;500000.0;476935.0;0.0;0.0;0.0;0.0
Public Safety;Fire & Rescue;Fire Halls;Renewal and Expansion of Grandview Fire Hall - Planning and Design;7500000.0;0.0;7500000.0;2000000.0;4000000.0;1000000.0;500000.0;0.0
Public Safety;Fire & Rescue;Fire Trucks;2019-2022 Renewal of Vancouver Fire & Rescue Services Vehicles & Equipment;8214734.0;1300000.0;9514734.0;800000.0;7100000.0;0.0;0.0;0.0
Public Safety;Police;Police Facilities;2019-2022 Police Facilities Renovation;460000.0;0.0;460000.0;263164.0;0.0;0.0;0.0;0.0
Public Safety;Animal Control;Animal Control;2019-2022 Renovations - Animal Control;0.0;25000.0;25000.0;25000.0;0.0;0.0;0.0;0.0
Public Safety;Animal Control;Animal Control;Animal Shelter Planning/Design 2011;156947.0;0.0;156947.0;139605.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;Administrative Facilities;City-Owned;2015-2018 City-wide Fire Safety Program;500000.0;0.0;500000.0;219741.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;Administrative Facilities;City-Owned;2015-2018 Environmental Program;225000.0;0.0;225000.0;54488.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;Administrative Facilities;City-Owned;2019-2022 Capital Maintenance - Administrative Facilities;2070000.0;640000.0;2710000.0;1977215.0;240000.0;0.0;0.0;0.0
Civic Facilities and Equipment;Administrative Facilities;City-Owned;Office Workspace Expansion (Sep 2018);7100000.0;0.0;7100000.0;5000000.0;1849857.0;0.0;0.0;0.0
Civic Facilities and Equipment;Sevice Yards, Vehicles & Equipment;Service Yards;2015-2018 Service Yards Planning;320000.0;0.0;320000.0;33273.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;Sevice Yards, Vehicles & Equipment;Service Yards;2019-2022 Capital Maintenance - Service Yards;945000.0;1060000.0;2005000.0;1135739.0;460000.0;0.0;0.0;0.0
Civic Facilities and Equipment;Sevice Yards, Vehicles & Equipment;Service Yards;Manitoba Yard Fuel Tank Replacement;800000.0;0.0;800000.0;480485.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;Sevice Yards, Vehicles & Equipment;Vehicles & Equipment;2015-2018 Vehicles & Equipment Replcement/Addition;60534952.0;0.0;60534952.0;1500000.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;Sevice Yards, Vehicles & Equipment;Vehicles & Equipment;2019-2022 Renewal of Parks Vehicles & Equipment;4741097.0;3000000.0;7741097.0;1400000.0;2700000.0;0.0;0.0;0.0
Civic Facilities and Equipment;All City Facilities;All City Facilities;2019-2022 Accessibility Program;795000.0;1000000.0;1795000.0;1206535.0;500000.0;0.0;0.0;0.0
Civic Facilities and Equipment;All City Facilities;All City Facilities;2019-2022 Energy Optimization Program;4341000.0;1194000.0;5535000.0;3194000.0;799169.0;0.0;0.0;0.0
Civic Facilities and Equipment;All City Facilities;All City Facilities;2019-2022 Ergonomic Furniture Program;250000.0;250000.0;500000.0;260069.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;All City Facilities;All City Facilities;2019-2022 Facilities Condition Assessments;0.0;700000.0;700000.0;700000.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;All City Facilities;All City Facilities;2019-2022 Planning & Research - Cultural Facilities;750000.0;250000.0;1000000.0;815879.0;75000.0;0.0;0.0;0.0
Civic Facilities and Equipment;All City Facilities;All City Facilities;2019-2022 Planning & Research - Fire Halls;25000.0;0.0;25000.0;20000.0;0.0;0.0;0.0;0.0
Civic Facilities and Equipment;All City Facilities;All City Facilities;2019-2022 Real Estate Studies (RES);125000.0;125000.0;250000.0;190225.0;25000.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Planning & Monitoring;2019-2022 Transportation Monitoring and ITS (Intelligence Transportation Systems) Replacement;300000.0;250000.0;550000.0;250000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Safety Improvements;2019-2022 Lanes Local Improvements;1394706.0;0.0;1394706.0;700000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Congestion Management;2019-2022 Arterial Improvement, Congestion & Transit Reliability;1750000.0;1000000.0;2750000.0;1000000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Structure Management;2019-2022 Dock Replacement;1544119.0;200000.0;1744119.0;200000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Structure Management;2019-2022 H-Frame Replacement;3450000.0;450000.0;3900000.0;450000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Structure Management;2019-2022 Major Bridge Maintenance;2100479.0;915950.0;3016429.0;915950.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Structure Management;2019-2022 Major Bridges - Coating;1000000.0;3100000.0;4100000.0;350000.0;3750000.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Structure Management;Cambie Bridge Seismic Upgrades and Deck Rehabilitation;0.0;4000000.0;4000000.0;3000000.0;1000000.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Structure Management;Granville Bridge Upgrade - Seismic;11000000.0;0.0;11000000.0;1500000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Surface Management;2019-2022 Rehabilitation of Major Roads - City;2400000.0;3250000.0;5650000.0;3250000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Surface Management;2019-2022 Sidewalk Rehabilitation;1430000.0;800000.0;2230000.0;1600000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Surface Management;Viaducts Removal/Northeast False Creek Redevelopment;38977084.0;0.0;38977084.0;4500000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Street Lighting Management;2019-2022 Street Light Fixtures – Decorative/Pedestrian;1400000.0;200000.0;1600000.0;200000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Street Lighting Management;City Wide Street Lighting LED Replacement;3000000.0;4000000.0;7000000.0;6500000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Signal Management;2019-2022 Pedestrian & Bike Signal Rehabilitation;1781780.0;945000.0;2726780.0;945000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Signal Management;2019-2022 Signal Communication Rehabilitation;750000.0;500000.0;1250000.0;500000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Signal Management;2019-2022 Traffic Signal Rehabilitation;4413636.0;2755000.0;7168636.0;2755000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Managing The Transportation Network;Rail Corridor;2019-2022 At-Grade Rail Crossing Upgrades;2500000.0;475000.0;2975000.0;2275000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Expand Sustainable Transportation Capacity;Active Transportation;2019-2022 Active Transportation Corridors & Spot Improvements;4393000.0;50000.0;4443000.0;2450000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Expand Sustainable Transportation Capacity;Active Transportation;2019-2022 Active Transportation Design Staffing;2000000.0;1000000.0;3000000.0;1000000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Expand Sustainable Transportation Capacity;Active Transportation;2019-2022 New Sidewalks;3859391.0;1750000.0;5609391.0;3050000.0;2000000.0;0.0;0.0;0.0
Transportation and Street Use;Expand Sustainable Transportation Capacity;Active Transportation;Granville Bridge Greenways;3000000.0;11500000.0;14500000.0;1000000.0;11500000.0;0.0;0.0;0.0
Transportation and Street Use;Expand Sustainable Transportation Capacity;Climate Emergency Response;Climate Emergency Response - Transportation Initiatives;500000.0;2025000.0;2525000.0;2375000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Expand Sustainable Transportation Capacity;Complete Streets;Cambie Corridor Complete Street Improvements - King Edward to 37th;1000000.0;1800000.0;2800000.0;1800000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Expand Sustainable Transportation Capacity;Other Transit;2019-2022 Transit Related Improvements;6444760.0;245000.0;6689760.0;3145000.0;0.0;0.0;0.0;0.0
Transportation and Street Use;Street Use;Public Space Projects;Design for Robson & Alberni Street Improvements;2000000.0;3000000.0;5000000.0;3300000.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Water Network;2019-2022 Dedicated Fire Protection System;512080.0;47818.0;559898.0;212001.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Water Network;2019-2022 Distribution Main Replacement;14300000.0;18000000.0;32300000.0;19997702.0;2000000.0;0.0;0.0;0.0
One Water;Potable Water;Water Network;2019-2022 Water Quality Capital;206040.0;27636.0;233676.0;185001.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Connections & Meters**;2015-2018 Water Commercial Connections;7283123.0;0.0;7283123.0;506603.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Connections & Meters**;2019-2022 Aging Water Meter Replacement;1340280.0;849000.0;2189280.0;849000.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Connections & Meters**;2019-2022 Aging Water Service Replacement;4532880.0;2070877.0;6603757.0;2500000.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Connections & Meters**;2019-2022 New Water Meters;40000.0;270000.0;310000.0;270000.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Connections & Meters**;2019-2022 Sewer & Water Combined Connections;0.0;250000.0;250000.0;250000.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Strategic Initiatives;2019-2022 Emergency Preparedness (One Water);125000.0;0.0;125000.0;125000.0;0.0;0.0;0.0;0.0
One Water;Potable Water;Strategic Initiatives;Residential Water Metering Acceleration;1088000.0;5000000.0;6088000.0;2338000.0;3000000.0;0.0;0.0;0.0
One Water;Sewerage & Drainage;Sewer Network;2015-2018 Upgrades & Replace Pump Station;8432720.0;0.0;8432720.0;1049059.0;0.0;0.0;0.0;0.0
One Water;Sewerage & Drainage;Sewer Network;2019-2022 Catch Basin and Lead Renewals;1224000.0;637000.0;1861000.0;744201.0;0.0;0.0;0.0;0.0
One Water;Sewerage & Drainage;Sewer Network;2019-2022 Sewer Main & Manhole Rehabilitation;358000.0;0.0;358000.0;186000.0;33736.0;0.0;0.0;0.0
One Water;Sewerage & Drainage;Sewer Network;2019-2022 Sewer Separation on Private Property;3264000.0;957642.0;4221642.0;1382607.0;0.0;0.0;0.0;0.0
One Water;Sewerage & Drainage;Sewer Network;2019-2022 Upgrades & Replace Pump Station;17310625.0;0.0;17310625.0;4765000.0;9503000.0;130059.0;0.0;0.0
One Water;Sewerage & Drainage;Connections**;2019-2022 Sewer & Water Combined Connections;8500000.0;100000.0;8600000.0;2100000.0;2311612.0;0.0;0.0;0.0
One Water;Sewerage & Drainage;Sewer Monitoring & Inspections;2019-2022 Sewer TV Inspection;1133220.0;584000.0;1717220.0;595295.0;0.0;0.0;0.0;0.0
One Water;Green Infrastructure;GI Implementation;2019-2022 Green Infrastructure implementation - Public Realm;5742632.0;2756820.0;8499452.0;4192800.0;0.0;0.0;0.0;0.0
One Water;Green Infrastructure;GI Implementation;2019-2022 Green Infrastructure Asset Renewal;580000.0;105000.0;685000.0;685000.0;0.0;0.0;0.0;0.0
One Water;Green Infrastructure;GI Implementation;2019-2022 Growth-Related Utility Upgrades - Green Infrastructure;8331990.0;0.0;8331990.0;3647500.0;2052059.0;0.0;0.0;0.0
One Water;Green Infrastructure;Water Quality Monitoring;2019-2022 Water Quality Monitoring;331000.0;272000.0;603000.0;335145.0;0.0;0.0;0.0;0.0
One Water;Green Infrastructure;GI Planning;2019-2022 Green Infrastructure Planning;2257974.0;0.0;2257974.0;1799476.0;0.0;0.0;0.0;0.0
One Water;Green Infrastructure;GI Planning;2019-2022 Watershed Planning & Hydrogeology;364000.0;386000.0;750000.0;386000.0;0.0;0.0;0.0;0.0
Solid Waste;Disposal;Landfill Non-closure;Cart and Sanitation Services System;500000.0;0.0;500000.0;145206.0;0.0;0.0;0.0;0.0
Solid Waste;Disposal;Landfill Non-closure;Closed Landfills Monitoring Program;520000.0;0.0;520000.0;196231.0;0.0;0.0;0.0;0.0
Solid Waste;Disposal;Landfill Non-closure;Closed Landfills Remediation Program;480000.0;0.0;480000.0;353560.0;0.0;0.0;0.0;0.0
Solid Waste;Disposal;Landfill Non-closure;Landfill Entrance Renovations;2100000.0;0.0;2100000.0;1050609.0;0.0;0.0;0.0;0.0
Solid Waste;Disposal;Landfill Non-closure;Landfill Hydrogeological Review 2016;370000.0;0.0;370000.0;101807.0;0.0;0.0;0.0;0.0
Solid Waste;Disposal;Landfill Non-closure;Vancouver Landfill Closure - New Phase Preparation and High Traffic Improvements;800000.0;0.0;800000.0;523096.0;0.0;0.0;0.0;0.0
Solid Waste;Disposal;Landfill Non-closure;Zero Waste Strategy;500000.0;0.0;500000.0;168090.0;0.0;0.0;0.0;0.0
Solid Waste;Disposal;Landfill Closure;2019-2022 Landfill Phase 4 Closure;25172000.0;0.0;25172000.0;8600000.0;2894226.0;0.0;0.0;0.0
Solid Waste;Disposal;Vehicles & Equipment;2019-2022 Renewal of Disposal vehicles & equipment;14469763.0;0.0;14469763.0;1500000.0;8400000.0;0.0;0.0;0.0
Solid Waste;Sanitation;Collections & Street Cleaning;2019-2022 Renewal of Sanitation vehicles & equipment;10992000.0;800000.0;11792000.0;4200000.0;6500000.0;0.0;0.0;0.0
Solid Waste;Sanitation;Collections & Street Cleaning;Sanitation Camera Solutions - Pilot Program for Contamination Documentation;200000.0;0.0;200000.0;200000.0;0.0;0.0;0.0;0.0
Solid Waste;Zero Waste;Zero Waste;Zero Waste Efforts - Food Waste Prevention and Diversion;850000.0;0.0;850000.0;698000.0;0.0;0.0;0.0;0.0
Renewable Energy;SEFC NEU;Generation;2019-2022 Neighbourhood Energy Utility (NEU) - New Satellite Energy Generation;2123000.0;38515.0;2161515.0;100000.0;0.0;0.0;0.0;0.0
Renewable Energy;SEFC NEU;Distribution;Neighbourhood Energy Utility (NEU) Flood-Related Repairs/Upgrades;700000.0;0.0;700000.0;400000.0;0.0;0.0;0.0;0.0
Renewable Energy;SEFC NEU;Distribution;New Neighbourhood Energy Utility (NEU) Service Connections & Energy Transfer Station's;4146000.0;0.0;4146000.0;520000.0;1867980.0;0.0;0.0;0.0
Renewable Energy;SEFC NEU;Planning;Neighbourhood Energy Utility (NEU) System Planning;711000.0;600000.0;1311000.0;600000.0;0.0;0.0;0.0;0.0
Renewable Energy;EV Infrastructure;EV Infrastructure;Climate Emergency Response - Electric Vehicle Charging Station Deployment;0.0;500000.0;500000.0;500000.0;0.0;0.0;0.0;0.0
Renewable Energy;Building Retrofits;Building Retrofits;Deep Emission Building Retrofits Program;5600000.0;6000000.0;11600000.0;10063766.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Asset Works (Fleet) Upgrades;30000.0;30000.0;60000.0;30000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Enterprise Search Strategy;100000.0;0.0;100000.0;70000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Geographic Information System (GIS) Strategic Roadmap Implementation;1795000.0;0.0;1795000.0;285000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 IT Infrastructure Maintenance, Upgrades & Expansion - Vancouver Police Department;0.0;2500000.0;2500000.0;2500000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Parking Enforcement Upgrades;80000.0;0.0;80000.0;52000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 POSSE Upgrade;1229477.0;0.0;1229477.0;677477.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Technology Services Business Projects;9540000.0;5000000.0;14540000.0;8677513.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Technology Services Capital Resource Pool;1352000.0;500000.0;1852000.0;500000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 VanDocs Upgrades;41000.0;20000.0;61000.0;20000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;Enterprise Service Management;1344000.0;722000.0;2066000.0;722000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;Sharepoint Deployment;390000.0;11986.0;401986.0;22986.0;0.0;0.0;0.0;0.0
Overhead;Overhead;Overhead;2019-2022 City-Wide Overhead - Pacific National Exhibition Hastings Park;650000.0;190000.0;840000.0;190000.0;0.0;0.0;0.0;0.0
Overhead;Overhead;Overhead;2019-2022 Finance Project Management Office (PMO);1600000.0;800000.0;2400000.0;800000.0;0.0;0.0;0.0;0.0
